code: 22575 time: 18150-18160 location:[[22.557501, 114.136032], [22.557501, 114.136032]]
code: 22575 time: 18160-18170 location:[[22.557501, 114.136032], [22.557501, 114.136032]]
code: 22575 time: 18170-18180 location:[[22.557501, 114.136032], [22.557501, 114.136032]]
code: 22575 time: 18180-18190 location:[[22.557501, 114.136032], [22.557501, 114.136032]]
code: 22575 time: 18190-18200 location:[[22.557501, 114.136032], [22.560329, 114.141594]]
code: 22575 time: 18200-18210 location:[[22.560329, 114.141594], [22.557856, 114.137512]]
code: 22575 time: 18210-18220 location:[[22.557856, 114.137512], [22.5574, 114.136757]]
code: 22575 time: 18220-18230 location:[[22.5574, 114.136757], [22.557335, 114.13665]]
code: 22575 time: 18230-18240 location:[[22.557335, 114.13665], [22.557325, 114.136635]]
code: 22575 time: 18240-18250 location:[[22.557325, 114.136635], [22.557325, 114.136635]]
code: 22575 time: 18250-18260 location:[[22.557325, 114.136635], [22.557325, 114.136635]]
code: 22575 time: 18260-18270 location:[[22.557325, 114.136635], [22.557325, 114.136635]]
code: 22575 time: 18270-18280 location:[[22.557325, 114.136635], [22.557325, 114.136635]]
code: 22575 time: 18280-18290 location:[[22.557325, 114.136635], [22.557325, 114.136635]]
code: 22575 time: 18290-18300 location:[[22.557325, 114.136635], [22.557325, 114.136635]]
code: 22575 time: 18300-18310 location:[[22.557325, 114.136635], [22.557325, 114.136635]]
code: 22575 time: 18310-19430 location:[[22.557325, 114.136635], [22.56185, 114.171165]]
code: 22575 time: 19430-19440 location:[[22.56185, 114.171165], [22.56185, 114.171165]]
code: 22575 time: 19440-19450 location:[[22.56185, 114.171165], [22.56185, 114.171165]]
code: 22575 time: 19450-19460 location:[[22.56185, 114.171165], [22.56185, 114.171165]]
code: 22575 time: 19460-19470 location:[[22.56185, 114.171165], [22.56185, 114.171165]]
code: 22575 time: 19470-19480 location:[[22.56185, 114.171165], [22.56185, 114.171165]]
code: 22575 time: 19480-19490 location:[[22.56185, 114.171165], [22.56185, 114.171165]]
code: 22575 time: 19490-19500 location:[[22.56185, 114.171165], [22.564678, 114.176727]]
code: 22575 time: 19500-19510 location:[[22.564678, 114.176727], [22.562204, 114.172646]]
code: 22575 time: 19510-19520 location:[[22.562204, 114.172646], [22.561749, 114.17189]]
code: 22575 time: 19520-19530 location:[[22.561749, 114.17189], [22.561684, 114.171783]]
code: 22575 time: 19530-19540 location:[[22.561684, 114.171783], [22.561674, 114.171768]]
code: 22575 time: 19540-19550 location:[[22.561674, 114.171768], [22.561674, 114.171768]]
code: 22575 time: 19550-19560 location:[[22.561674, 114.171768], [22.561674, 114.171768]]
code: 22575 time: 19560-19570 location:[[22.561674, 114.171768], [22.561674, 114.171768]]
code: 22575 time: 19570-19580 location:[[22.561674, 114.171768], [22.561674, 114.171768]]
code: 22575 time: 19580-19590 location:[[22.561674, 114.171768], [22.561674, 114.171768]]
code: 22575 time: 19590-19600 location:[[22.561674, 114.171768], [22.561674, 114.171768]]
code: 22575 time: 19600-19610 location:[[22.561674, 114.171768], [22.561674, 114.171768]]
code: 22575 time: 19610-24930 location:[[22.561674, 114.171768], [22.560118, 114.177803]]
code: 22575 time: 24930-24940 location:[[22.560118, 114.177803], [22.560118, 114.177803]]
code: 22575 time: 24940-24950 location:[[22.560118, 114.177803], [22.560568, 114.177254]]
code: 22575 time: 24950-24960 location:[[22.560568, 114.177254], [22.561399, 114.176033]]
code: 22575 time: 24960-24970 location:[[22.561399, 114.176033], [22.562201, 114.174881]]
code: 22575 time: 24970-24980 location:[[22.562201, 114.174881], [22.562817, 114.173019]]
code: 22575 time: 24980-24990 location:[[22.562817, 114.173019], [22.562901, 114.17083]]
code: 22575 time: 24990-25000 location:[[22.562901, 114.17083], [22.559814, 114.166634]]
code: 22575 time: 25000-25010 location:[[22.559814, 114.166634], [22.55752, 114.162849]]
code: 22575 time: 25010-25020 location:[[22.55752, 114.162849], [22.557114, 114.162178]]
code: 22575 time: 25020-25030 location:[[22.557114, 114.162178], [22.557053, 114.162079]]
code: 22575 time: 25030-25040 location:[[22.557053, 114.162079], [22.557043, 114.162064]]
code: 22575 time: 25040-25050 location:[[22.557043, 114.162064], [22.557039, 114.162056]]
code: 22575 time: 25050-25060 location:[[22.557039, 114.162056], [22.557035, 114.162048]]
code: 22575 time: 25060-25070 location:[[22.557035, 114.162048], [22.55703, 114.162041]]
code: 22575 time: 25070-25070 location:[[22.55703, 114.162041], [22.557034, 114.162048]]
code: 22575 time: 25070-25090 location:[[22.557034, 114.162048], [22.557026, 114.162033]]
code: 22575 time: 25090-25100 location:[[22.557026, 114.162033], [22.557024, 114.162033]]
code: 22575 time: 25100-25110 location:[[22.557024, 114.162033], [22.55702, 114.162025]]
code: 22575 time: 25110-27930 location:[[22.55702, 114.162025], [22.576567, 114.113747]]
code: 22575 time: 27930-27940 location:[[22.576567, 114.113747], [22.576567, 114.113731]]
code: 22575 time: 27940-27950 location:[[22.576567, 114.113731], [22.57655, 114.113136]]
code: 22575 time: 27950-27960 location:[[22.57655, 114.113136], [22.57655, 114.112663]]
code: 22575 time: 27960-27970 location:[[22.57655, 114.112663], [22.57655, 114.112633]]
code: 22575 time: 27970-27980 location:[[22.57655, 114.112633], [22.57655, 114.112633]]
code: 22575 time: 27980-27990 location:[[22.57655, 114.112633], [22.57655, 114.112633]]
code: 22575 time: 27990-28000 location:[[22.57655, 114.112633], [22.580086, 114.119362]]
code: 22575 time: 28000-28010 location:[[22.580086, 114.119362], [22.576508, 114.113457]]
code: 22575 time: 28010-28020 location:[[22.576508, 114.113457], [22.576391, 114.113266]]
code: 22575 time: 28020-28030 location:[[22.576391, 114.113266], [22.576376, 114.113243]]
code: 22575 time: 28030-28040 location:[[22.576376, 114.113243], [22.576374, 114.113235]]
code: 22575 time: 28040-28050 location:[[22.576374, 114.113235], [22.576374, 114.113235]]
code: 22575 time: 28050-28060 location:[[22.576374, 114.113235], [22.576372, 114.113235]]
code: 22575 time: 28060-28070 location:[[22.576372, 114.113235], [22.576372, 114.113235]]
code: 22575 time: 28070-28080 location:[[22.576372, 114.113235], [22.576372, 114.113235]]
code: 22575 time: 28080-28080 location:[[22.576372, 114.113235], [22.57645, 114.110214]]
code: 22575 time: 28080-28090 location:[[22.57645, 114.110214], [22.576372, 114.113235]]
code: 22575 time: 28090-28090 location:[[22.576372, 114.113235], [22.576418, 114.110069]]
code: 22575 time: 28090-28100 location:[[22.576418, 114.110069], [22.576372, 114.113235]]
code: 22575 time: 28100-28100 location:[[22.576372, 114.113235], [22.576349, 114.109917]]
code: 22575 time: 28100-28110 location:[[22.576349, 114.109917], [22.576372, 114.113235]]
code: 22575 time: 28110-28110 location:[[22.576372, 114.113235], [22.576317, 114.109848]]
code: 22575 time: 28110-28120 location:[[22.576317, 114.109848], [22.576267, 114.109718]]
code: 22575 time: 28120-28130 location:[[22.576267, 114.109718], [22.576267, 114.109718]]
code: 22575 time: 28130-28140 location:[[22.576267, 114.109718], [22.5762, 114.109482]]
code: 22575 time: 28140-28150 location:[[22.5762, 114.109482], [22.579029, 114.115044]]
code: 22575 time: 28150-28160 location:[[22.579029, 114.115044], [22.576555, 114.110962]]
code: 22575 time: 28160-28170 location:[[22.576555, 114.110962], [22.576099, 114.110207]]
code: 22575 time: 28170-28180 location:[[22.576099, 114.110207], [22.576035, 114.1101]]
code: 22575 time: 28180-28190 location:[[22.576035, 114.1101], [22.576025, 114.110085]]
code: 22575 time: 28190-28200 location:[[22.576025, 114.110085], [22.576025, 114.110085]]
code: 22575 time: 28200-28210 location:[[22.576025, 114.110085], [22.576025, 114.110085]]
code: 22575 time: 28210-28220 location:[[22.576025, 114.110085], [22.576025, 114.110085]]
code: 22575 time: 28220-28230 location:[[22.576025, 114.110085], [22.576025, 114.110085]]
code: 22575 time: 28230-28240 location:[[22.576025, 114.110085], [22.576025, 114.110085]]
code: 22575 time: 28240-28250 location:[[22.576025, 114.110085], [22.576025, 114.110085]]
code: 22575 time: 28250-28260 location:[[22.576025, 114.110085], [22.576025, 114.110085]]
code: 22575 time: 28260-35750 location:[[22.576025, 114.110085], [22.553333, 114.109886]]
code: 22575 time: 35750-35780 location:[[22.553333, 114.109886], [22.556433, 114.110435]]
code: 22575 time: 35780-35790 location:[[22.556433, 114.110435], [22.55735, 114.111214]]
code: 22575 time: 35790-35800 location:[[22.55735, 114.111214], [22.557899, 114.111687]]
code: 22575 time: 35800-35810 location:[[22.557899, 114.111687], [22.55805, 114.112602]]
code: 22575 time: 35810-35820 location:[[22.55805, 114.112602], [22.558533, 114.113434]]
code: 22575 time: 35820-35830 location:[[22.558533, 114.113434], [22.55875, 114.114548]]
code: 22575 time: 35830-35840 location:[[22.55875, 114.114548], [22.562286, 114.121277]]
code: 22575 time: 35840-35850 location:[[22.562286, 114.121277], [22.562286, 114.121277]]
code: 22575 time: 35850-35860 location:[[22.562286, 114.121277], [22.562286, 114.121277]]
code: 22575 time: 35860-35870 location:[[22.562286, 114.121277], [22.562286, 114.121277]]
code: 22575 time: 35870-35880 location:[[22.562286, 114.121277], [22.562286, 114.121277]]
code: 22575 time: 35880-35890 location:[[22.562286, 114.121277], [22.562286, 114.121277]]
code: 22575 time: 35890-35900 location:[[22.562286, 114.121277], [22.562286, 114.121277]]
code: 22575 time: 35900-35910 location:[[22.562286, 114.121277], [22.562286, 114.121277]]
code: 22575 time: 35910-35920 location:[[22.562286, 114.121277], [22.562286, 114.121277]]
code: 22575 time: 35920-35930 location:[[22.562286, 114.121277], [22.562286, 114.121277]]
code: 22575 time: 35930-38140 location:[[22.562286, 114.121277], [22.543882, 114.130531]]
code: 22575 time: 38140-38150 location:[[22.543882, 114.130531], [22.543882, 114.130531]]
code: 22575 time: 38150-38160 location:[[22.543882, 114.130531], [22.543882, 114.130531]]
code: 22575 time: 38160-38170 location:[[22.543882, 114.130531], [22.543882, 114.130531]]
code: 22575 time: 38170-38180 location:[[22.543882, 114.130531], [22.543882, 114.130531]]
code: 22575 time: 38180-38190 location:[[22.543882, 114.130531], [22.543882, 114.130531]]
code: 22575 time: 38190-38200 location:[[22.543882, 114.130531], [22.543882, 114.130531]]
code: 22575 time: 38200-38210 location:[[22.543882, 114.130531], [22.546711, 114.136093]]
code: 22575 time: 38210-38220 location:[[22.546711, 114.136093], [22.544237, 114.132011]]
code: 22575 time: 38220-38230 location:[[22.544237, 114.132011], [22.543781, 114.131256]]
code: 22575 time: 38230-38240 location:[[22.543781, 114.131256], [22.543716, 114.131149]]
code: 22575 time: 38240-38250 location:[[22.543716, 114.131149], [22.543707, 114.131134]]
code: 22575 time: 38250-38260 location:[[22.543707, 114.131134], [22.543707, 114.131134]]
code: 22575 time: 38260-38270 location:[[22.543707, 114.131134], [22.543707, 114.131134]]
code: 22575 time: 38270-38280 location:[[22.543707, 114.131134], [22.543707, 114.131134]]
code: 22575 time: 38280-38290 location:[[22.543707, 114.131134], [22.543707, 114.131134]]
code: 22575 time: 38290-38300 location:[[22.543707, 114.131134], [22.543707, 114.131134]]
code: 22575 time: 38300-38310 location:[[22.543707, 114.131134], [22.543707, 114.131134]]
code: 22575 time: 38310-38320 location:[[22.543707, 114.131134], [22.543707, 114.131134]]
code: 22575 time: 38320-38550 location:[[22.543707, 114.131134], [22.5492, 114.137367]]
code: 22575 time: 38550-38560 location:[[22.5492, 114.137367], [22.549633, 114.138435]]
code: 22575 time: 38560-38570 location:[[22.549633, 114.138435], [22.5497, 114.138817]]
code: 22575 time: 38570-38580 location:[[22.5497, 114.138817], [22.549784, 114.139267]]
code: 22575 time: 38580-38590 location:[[22.549784, 114.139267], [22.549833, 114.139549]]
code: 22575 time: 38590-38600 location:[[22.549833, 114.139549], [22.5499, 114.14003]]
code: 22575 time: 38600-38610 location:[[22.5499, 114.14003], [22.549967, 114.140533]]
code: 22575 time: 38610-38620 location:[[22.549967, 114.140533], [22.553503, 114.147263]]
code: 22575 time: 38620-38630 location:[[22.553503, 114.147263], [22.549925, 114.141357]]
code: 22575 time: 38630-38640 location:[[22.549925, 114.141357], [22.549809, 114.141167]]
code: 22575 time: 38640-38650 location:[[22.549809, 114.141167], [22.549793, 114.141144]]
code: 22575 time: 38650-38660 location:[[22.549793, 114.141144], [22.549791, 114.141136]]
code: 22575 time: 38660-38670 location:[[22.549791, 114.141136], [22.549791, 114.141136]]
code: 22575 time: 38670-38680 location:[[22.549791, 114.141136], [22.549789, 114.141136]]
code: 22575 time: 38680-38690 location:[[22.549789, 114.141136], [22.549789, 114.141136]]
code: 22575 time: 38690-38700 location:[[22.549789, 114.141136], [22.549789, 114.141136]]
code: 22575 time: 38700-38710 location:[[22.549789, 114.141136], [22.549789, 114.141136]]
code: 22575 time: 38710-38720 location:[[22.549789, 114.141136], [22.549789, 114.141136]]
